file,sha256
bootloader.bin,14187ee9ec073619b7e1daee2eee63f61423285101157f495435dfc93f822b33
partitions.bin,cb8d544b5eb702e45e05b185d34149049fd1a1fc1dc531ed46254a205e1c2ffd
nvs.bin,ab4c287b75bc96d0fc4fcf6af146dc26419c7efef8494520f02de2f74f1843a8
phy_init.bin,f47a8ec3e9aff2318d896942282ad4fe37d6391c82914f54a5da8a37de1300c6
otadata.bin,c63c07134234625b9448c11daf2acca6feb540c67ad9651ae8e80c99935ee59c
storage.bin,8e6f77366baf8f9b9cddc873765484b539c202d890ef8291302eae35e63b37ce
ota_0.bin,e2137fae4395071f230d58859f8d44ebf4e0bef679e7074344eea1a65717efed
ota_1.bin,7809b48824749cfa15cf898ba20b0161b8a58906036a73f9617bf9916d3ce76c
app0.bin,ab802d56267aca8261213abaacae86ce7522d727eaf30d23af1c4f3edb5ff227
dump.bin,e4877e8961a258f577fe2499ababd28ea5e53a94332f6ce4403cb17d8b354b79
